id,name,matchedName,resultType,confidence,similarity,lat,lng,address,status
r16,Mo's Fiery Chicken & BBQ,BBQ Chicken,amenity,0,1,33.090277,-96.804825,"BBQ Chicken, Plano, TX 75024, United States of America",review
r18,DH Noodles & Grill 敦煌兰州牛肉面,Pho Express Noodles & Grill,amenity,0,0.667,32.9533151,-96.8850726,"Pho Express Noodles & Grill, 2012 East Belt Line Road, Carrollton, TX 75006, United States of America",review
r19,RIZQ Mediterranean Restaurant & Lounge,Twilite Lounge,amenity,0,0.5,32.7842328,-96.7849352,"Twilite Lounge, 2640 Elm Street, Dallas, TX 75226, United States of America",review
r25,Smokey Beards BBQ,Smokey John's BBQ,amenity,0,0.667,32.821532,-96.854354,"Smokey John's BBQ, Dallas, TX 75235, United States of America",review
r27,Baklava Bakery & Coffee Co,Coffee Road,street,0,0.5,32.425935,-96.699411,"Coffee Road, Ellis County, TX 75152, United States of America",review
r29,Spice 'N Rice Indian Cuisine,Spice 'N' Rice,amenity,0,1,32.9518269,-96.7276938,"Spice 'N' Rice, 300 Terrace Drive, Richardson, TX 75081, United States of America",review
r30,OG Chicken & Gyro,MJ's Chicken & Rice,amenity,0,0.333,32.8672445,-96.7435857,"MJ's Chicken & Rice, 6751 Abrams Road, Dallas, TX 75243, United States of America",review
r34,Chocolate Drip Cafe,Chocolate Angel Café & Teahouse,amenity,0,0.333,32.977327,-96.741629,"Chocolate Angel Café & Teahouse, Richardson, TX 75080, United States of America",review
r37,Stucky’s food and Motel,Ly Food oriental food and Market,amenity,0,0.4,32.7190043,-96.8923755,"Ly Food oriental food and Market, 4440 West Illinois Avenue, Dallas, TX 75211, United States of America",review
r38,Turbo Joe’s Halal Pizza & Burger,Lover's Pizza & Pasta,amenity,0,0.5,32.85147,-96.8172392,"Lover's Pizza & Pasta, 5605 West Lovers Lane, Dallas, TX 75209, United States of America",review
r40,City Eatz Food & Grill,Skillet & Grill,amenity,0,0.5,32.7356387,-97.1481513,"Skillet & Grill, 2424 West Division Street, Arlington, TX 76012, United States of America",review
r41,Yaas Pizza & Wings,Juju's Wings And Daiquiri,amenity,0,0.333,32.795064,-96.776239,"Juju's Wings And Daiquiri, Dallas, TX 75246, United States of America",review
r42,Everest Momo & Kabab,51 Rainbow Indian Grill & Momo House,amenity,0,0.333,33.1587749,-96.6828975,"51 Rainbow Indian Grill & Momo House, 5151 McKinney Ranch Parkway, McKinney, TX 75070, United States of America",review
r46,AL NABULSI Kabab & Gyros,Gyros & Kabobs,amenity,0,0.5,33.0088329,-96.5740123,"Gyros & Kabobs, 805 Woodbridge Parkway, Wylie, TX 75098, United States of America",review
r49,Redbird BBQ,Crossbuck BBQ,amenity,0,0.5,32.9393005,-96.8337371,"Crossbuck BBQ, 4400 Spring Valley Road, Farmers Branch, TX 75240, United States of America",review
r51,Khashoka Middle Eastern Cuisine,Bowie Middle School,amenity,0,0.333,32.806619,-96.937006,"Bowie Middle School, 600 East 6th Street, Irving, TX 75060, United States of America",review
r53,Juicy Joint,Taco Joint,amenity,0,0.5,32.9520307,-96.8041131,"Taco Joint, 14999 Preston Road, Dallas, TX 75254, United States of America",review
r54,Royal Grill,Pressbox Grill,amenity,0,0.5,32.7816508,-96.7974139,"Pressbox Grill, 1623 Main Street, Dallas, TX 75201, United States of America",review
